"columna","tipo"
"Source.Name","character"
"id","numeric"
"registro_id","numeric"
"r1","numeric"
"r2","numeric"
"r3","numeric"
"r4","numeric"
"r5","numeric"
"r6","numeric"
"r7","numeric"
"r8","numeric"
"r9","numeric"
"r10","numeric"
"r11","numeric"
"r12","numeric"
"r13","numeric"
"r14","numeric"
"r15","numeric"
"r16","numeric"
"r17","numeric"
"r18","numeric"
"r19","numeric"
"r20","numeric"
"r21","numeric"
"r22","numeric"
"r23","numeric"
"r24","numeric"
"r25_1","character"
"r25_2","character"
"r25_3","character"
"r25_4","character"
"r25_5","character"
"r26_1","character"
"r26_2","character"
"r26_3","character"
"r26_4","character"
"r26_5","character"
"rd1","character"
"rd2","character"
"rd3","character"
"rd4","character"
"rd5","character"
"rd6","character"
"id_alumno","numeric"
"evaluo","character"
"ciclo","character"
"materia_nrc","numeric"
"carrera_clave","character"
